,fsl_ad,fsl_mci,fsl_cn,t1_ad,t1_mci,t1_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,0.35236496,0.25959122,-1.5559087,-0.784525,-0.39277118,0.55028945,0.63120955,0.9875803
fsl_mci,0.13957036,,0.16695395,-1.721223,-0.9698963,-0.6917582,0.30473274,0.5524422,0.72052675
fsl_cn,0.08238891,0.20176095,,-1.6728897,-0.83253634,-0.6476508,0.38509148,0.5405694,0.705275
t1_ad,0.8677752,0.96771455,0.88990813,,0.8052268,1.2298799,1.5080413,1.8645096,1.9698597
t1_mci,0.6048556,0.90579975,0.8800345,-0.43409398,,0.66798997,1.0531183,1.3351932,1.6295036
t1_cn,0.5944447,0.41576535,0.22206147,-1.0323004,-0.120328166,,0.7743113,0.75703794,1.1210384
mni_ad,-0.83851707,-0.38133514,-0.43198428,-2.2123237,-1.851637,-1.2286279,,0.17765293,0.55116296
mni_mci,-0.33692864,-0.15051785,-0.14856362,-2.1946793,-1.4989513,-0.99216044,0.61629695,,
mni_cn,-0.45708433,-0.30758512,-0.37616175,-2.4806488,-1.3570447,-0.96899134,-0.07435845,0.15445438,
