,fsl_ad,fsl_mci,fsl_cn,t1_ad,t1_mci,t1_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,1.4347382692190318,1.532806658744812,1.480800191561381,1.4224040905634563,1.492173711458842,1.2065754334131877,1.4418666362762451,1.3630845546722412
fsl_mci,1.3602228164672852,,1.5598352193832397,1.5290335019429524,1.4764894247055054,1.5794083674748738,1.2782208919525146,1.4648483991622925,1.4410021702448528
fsl_cn,1.3769065618515015,1.4786796019627497,,1.5149314800898235,1.436412254969279,1.5665392478307087,1.254774848620097,1.4683125416437786,1.445452133814494
t1_ad,1.1477562189102173,1.25519924897414,1.3489005088806152,,0.958565870920817,1.0187365611394246,0.9271344145139059,1.0820296208063762,1.0764871835708618
t1_mci,1.22446768283844,1.2732639679541955,1.351781392097473,1.1534908612569172,,1.1826779047648113,1.059866229693095,1.2364669640858967,1.1757920781771343
t1_cn,1.2275051474571228,1.4162401327720056,1.5437565565109252,1.3280282020568848,1.2286128997802734,,1.141213059425354,1.4051540295283,1.3241458336512248
mni_ad,1.6455970525741577,1.6488081858708308,1.734585976600647,1.67232084274292,1.7337528069814045,1.7360496520996094,,1.5741997559865315,1.4904170433680217
mni_mci,1.4992498397827148,1.5814632452451265,1.6518929719924926,1.6671727895736694,1.6308505535125732,1.6670560836791992,1.1873165766398113,,
mni_cn,1.5343073606491089,1.627290358910194,1.7182987451553344,1.7506093581517537,1.589446783065796,1.6602960427602131,1.3888274431228638,1.5809683799743652,
