,fsl_ad,fsl_mci,fsl_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,0.4521022,0.63129795,0.035190813,0.46512753,0.3211727
fsl_mci,0.3159436,,0.680686,0.1661053,0.507121,0.46354786
fsl_cn,0.34642893,0.53239423,,0.12326336,0.51345086,0.4716791
mni_ad,0.8373947,0.8432623,1.0,,0.70693374,0.55384135
mni_mci,0.56998116,0.72020584,0.84889895,0.0,,
mni_cn,0.6340402,0.8039437,0.97023916,0.3682115,0.7193017,
