,fsl_ad,fsl_mci,fsl_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,0.044024825,0.016956449,0.101772785,0.12538266,0.2293601
fsl_mci,-0.018061757,,-0.010072112,0.030127287,0.1024009,0.15144253
fsl_cn,-0.034745455,8.34465e-05,,0.05357337,0.098936796,0.14699256
mni_ad,-0.30343604,-0.17004514,-0.18482292,,-0.0069504976,0.102027655
mni_mci,-0.15708876,-0.102700114,-0.102129936,0.12103164,,0.124149084
mni_cn,-0.1921463,-0.14852726,-0.16853571,-0.080479264,-0.013719082,
