,fsl_ad,fsl_mci,fsl_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,1.4347383,1.5328066,1.2065754,1.4418666,1.3630846
fsl_mci,1.3602228,,1.5598352,1.2782209,1.4648484,1.4410021
fsl_cn,1.3769065,1.4786797,,1.2547748,1.4683125,1.4454521
mni_ad,1.6455971,1.6488082,1.734586,,1.5741998,1.490417
mni_mci,1.4992498,1.5814632,1.651893,1.1873165,,1.4682956
mni_cn,1.5343074,1.6272904,1.7182988,1.3888274,1.5809684,
