,fsl_ad,fsl_mci,fsl_cn,t1_ad,t1_mci,t1_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,0.044024825,0.016956449,-0.5127477,-0.2876829,-0.1733818,0.101772785,0.12538266,0.2293601
fsl_mci,-0.018061757,,-0.010072112,-0.5609811,-0.34176826,-0.26061654,0.030127287,0.1024009,0.15144253
fsl_cn,-0.034745455,8.34465e-05,,-0.546879,-0.30169106,-0.24774742,0.05357337,0.098936796,0.14699256
t1_ad,0.19440484,0.22356391,0.20086253,,0.17615527,0.30005527,0.38121378,0.48521972,0.5159575
t1_mci,0.117693424,0.20549917,0.19798172,-0.18543845,,0.136114,0.24848199,0.3307823,0.41665256
t1_cn,0.11465585,0.06252301,0.0060064793,-0.35997576,-0.09389174,,0.16713512,0.16209531,0.26829886
mni_ad,-0.30343604,-0.17004514,-0.18482292,-0.7042684,-0.5990317,-0.4172578,,-0.0069504976,0.102027655
mni_mci,-0.15708876,-0.102700114,-0.102129936,-0.69912034,-0.4961294,-0.34826422,0.12103164,,
mni_cn,-0.1921463,-0.14852726,-0.16853571,-0.78255695,-0.45472562,-0.34150422,-0.080479264,-0.013719082,
