,fsl_ad,fsl_mci,fsl_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,0.41073814,0.19774161,0.8651472,1.0509293,1.8691105
fsl_mci,-0.07781082,,-0.014941634,0.30138075,0.8700897,1.2559901
fsl_cn,-0.20909205,0.06497076,,0.48587406,0.84283125,1.2209741
mni_ad,-2.3233733,-1.2737427,-1.3900266,,0.00962183,0.8671527
mni_mci,-1.1717911,-0.74381596,-0.73932934,1.0166919,,1.0412226
mni_cn,-1.447653,-1.1044222,-1.2618653,-0.56896377,-0.04363903,
