,fsl_ad,fsl_mci,fsl_cn,t1_ad,t1_mci,t1_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,0.21153007,0.16230732,0.16998003,0.052898496,-0.018132554,-0.19754393,-0.22153725,-0.22704701
fsl_mci,0.10349084,,-0.033314027,-0.0923933,-0.18233031,-0.38543808,-0.7401359,-0.36644098,-0.7769164
fsl_cn,0.00058638473,-0.10119765,,-0.015682638,-0.008025993,-0.33125213,-0.562572,-0.38828272,-0.8083201
t1_ad,1.4139773,1.4892972,1.4933422,,2.0702293,1.9752942,1.9187431,2.0472937,1.7954893
t1_mci,0.940824,1.3607317,1.4724921,1.9504317,,1.2850126,0.9135271,1.0735408,1.094688
t1_cn,0.9220883,0.34318033,0.083056055,1.0010078,0.89573747,,0.29746383,0.009941956,0.04774636
mni_ad,-1.6566875,-1.3119909,-1.2980869,-0.8718278,-1.3012238,-1.0449827,,-1.0559193,-1.1256404
mni_mci,-0.7540227,-0.8327011,-0.69958985,-0.8438241,-0.8536797,-0.7544823,-0.051691074,,
mni_cn,-0.9702564,-1.1588497,-1.1802069,-1.297691,-0.6736059,-0.7260191,-1.5777911,-1.0985963,
