,fsl_ad,fsl_mci,fsl_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,-0.33351663,0.36231476,-1.952417,-0.2829383,-0.8419264
fsl_mci,-0.8622315,,0.5540924,-1.4440656,-0.11987415,-0.28907228
fsl_cn,-0.74385446,-0.021736246,,-1.6104243,-0.09529506,-0.25749815
mni_ad,1.1626049,1.1853892,1.7940142,,0.65601456,0.061544582
mni_mci,0.12421667,0.70755124,1.2072768,-2.0890658,,
mni_cn,0.37296295,1.0327119,1.6784505,-0.65927106,0.7040402,
