,fsl_ad,fsl_mci,fsl_cn,mni_ad,mni_mci,mni_cn
fsl_ad,,0.30429196,0.20268321,0.5210651,0.6096915,1.0
fsl_mci,0.07123256,,0.101223946,0.2521237,0.52342296,0.7075145
fsl_cn,0.008605599,0.13934565,,0.3401351,0.5104195,0.6908103
mni_ad,-1.0,-0.4992798,-0.55475235,,0.11294174,0.5220219
mni_mci,-0.45064437,-0.2464813,-0.24434096,0.59335864,,0.60506094
mni_cn,-0.5822427,-0.41850638,-0.49361372,-0.16306913,0.08753395,
